identifier,incident,start date,end date,number of deaths,state,start_month,end_month
IBD031727,Auto Crash,2025-02-12,2025-02-12,1,Bauchi,2,2
IBD031728,Police Vs Armed Robbers,2025-02-12,2025-02-12,3,Abuja,2,2
IBD031741,Extrajudicial Killing,2025-02-12,2025-02-12,1,Lagos,2,2
IBD031729,Stab To Death,2025-02-12,2025-02-12,1,Rivers,2,2
IBD031829,Kidnappers Kill Two,2025-02-12,2025-02-12,2,Kogi,2,2
IBD031807,Extrajudicial Killing,2025-02-11,2025-02-11,1,Benue,2,2
IBD031713,Mob Vs Thief,2025-02-11,2025-02-11,1,Akwa Ibom,2,2
IBD031726,Auto Crash,2025-02-11,2025-02-11,3,Taraba,2,2
IBD031738,Ritual Killing,2025-02-11,2025-02-11,1,Kwara,2,2
IBD031717,Bandits Vs Traders,2025-02-10,2025-02-10,1,Katsina,2,2
IBD031714,Communal Clash,2025-02-10,2025-02-10,1,Akwa Ibom,2,2
IBD031762,Kidnap Victim,2025-02-10,2025-02-10,1,Abuja,2,2
IBD031709,Auto Crash,2025-02-10,2025-02-10,1,Niger,2,2
IBD031720,Assailants Vs Girl,2025-02-10,2025-02-10,1,Ekiti,2,2
IBD031721,Student Drowns,2025-02-10,2025-02-10,1,Benue,2,2
IBD031719,Gunmen Vs Police Officer,2025-02-09,2025-02-09,2,Yobe,2,2
IBD031705,Gunmen Kill Pastor,2025-02-09,2025-02-09,1,Gombe,2,2
IBD031708,Auto Crash,2025-02-09,2025-02-09,5,Jigawa,2,2
IBD031704,Communal Clash,2025-02-09,2025-02-09,1,Abia,2,2
IBD031690,Police Kill Man,2025-02-09,2025-02-09,1,Rivers,2,2
IBD031747,Police Vs Ipob Esn,2025-02-09,2025-02-09,3,Imo,2,2
IBD031706,Herdsmen Kill Girl,2025-02-09,2025-02-09,1,Ekiti,2,2
IBD031703,Troops Vs Bandits,2025-02-09,2025-02-09,4,Zamfara,2,2
IBD031692,Cult Clash,2025-02-09,2025-02-09,20,Rivers,2,2
IBD031701,Communal Clash Cross,2025-02-09,2025-02-09,4,Rivers,2,2
IBD031702,Burglars Vs Woman,2025-02-09,2025-02-09,1,Delta,2,2
IBD031693,Banditry,2025-02-09,2025-02-09,1,Sokoto,2,2
IBD031694,Cult Clash,2025-02-09,2025-02-09,4,Benue,2,2
IBD031707,Student Dies,2025-02-08,2025-02-08,1,Lagos,2,2
IBD031697,Auto Crash,2025-02-08,2025-02-08,1,Kwara,2,2
IBD031754,Police Vs Ipob Esn,2025-02-08,2025-02-08,2,Imo,2,2
IBD031731,Cult Clashes,2025-02-07,2025-02-14,3,Abia,2,2
IBD031723,Extrajudicial Killing,2025-02-07,2025-02-07,1,Enugu,2,2
IBD031680,Drowns Mysterious Death,2025-02-07,2025-02-07,1,Ondo,2,2
IBD031689,Soldiers Vs Bandits,2025-02-07,2025-02-07,44,Zamfara,2,2
IBD031686,Domestic Violence,2025-02-07,2025-02-07,1,Anambra,2,2
IBD031710,Assailants Vs Uber Driver,2025-02-07,2025-02-07,1,Lagos,2,2
IBD031716,Bandits Vs Traders,2025-02-07,2025-02-07,12,Katsina,2,2
IBD031715,Teacher Vs Student,2025-02-06,2025-02-06,1,Delta,2,2
IBD031963,Domestic Violence,2025-02-06,2025-02-06,1,Akwa Ibom,2,2
IBD031674,Cult Clash,2025-02-06,2025-02-06,7,Rivers,2,2
IBD031675,Gunmen Attack,2025-02-06,2025-02-06,1,Katsina,2,2
IBD031684,Lakurawa Kill 1,2025-02-06,2025-02-06,1,Kebbi,2,2
